Date,Quarter,Year,5 year bond yields,GDPm (Current Prices),GDP per capita,GNI per capita,Personal Income m,Unemployment Rate,Core inflation,Median Household Inc,Total Residential Properties,  1-Room Residential Properties,  2-Room Residential Properties,  3-Room Residential Properties,  4-Room Residential Properties,  5-Room Residential Properties,  Executive Properties,"Lime, Cement, & Fabricated Construction Materials Excl Glass & Clay Materials",Clay Construction Materials & Refractory Construction Materials,Stamp Duty,LTV Value,yearly core inflation,yearly cement inflation,yearly clay inflation
1990-01-01,1990 1Q,1990,5.22,16669.5,22901.0,23134.0,9046.8,1.8,61.59,2296.0,623821.0,28697.0,42206.0,252044.0,202046.0,71754.0,21602.0,99.488,81.242,0.03,0.9,0.0017860042214645766,-0.005427790286265721,-0.0009231678196007786
1990-02-01,1990 1Q,1990,5.16,16669.5,22901.0,23134.0,9046.8,1.8,61.7,2296.0,623821.0,28697.0,42206.0,252044.0,202046.0,71754.0,21602.0,98.948,81.167,0.03,0.9,0.0017860042214645766,-0.005427790286265721,-0.0009231678196007786
1990-03-01,1990 1Q,1990,5.22,16669.5,22901.0,23134.0,9046.8,1.8,61.48,2296.0,623821.0,28697.0,42206.0,252044.0,202046.0,71754.0,21602.0,101.752,80.572,0.03,0.9,-0.003565640194489572,0.028338116990742623,-0.007330565377554943
1990-04-01,1990 2Q,1990,5.34,17087.7,22901.0,23134.0,9460.3,1.8,61.86,2296.0,623821.0,28697.0,42206.0,252044.0,202046.0,71754.0,21602.0,102.506,80.647,0.03,0.9,0.006180871828236789,0.007410173755798555,0.0009308444620961254
1990-05-01,1990 2Q,1990,5.25,17087.7,22901.0,23134.0,9460.3,1.8,61.99,2296.0,623821.0,28697.0,42206.0,252044.0,202046.0,71754.0,21602.0,103.799,80.2,0.03,0.9,0.0021015195602975822,0.01261389577195482,-0.005542673627041306
1990-06-01,1990 2Q,1990,5.19,17087.7,22901.0,23134.0,9460.3,1.8,61.99,2296.0,623821.0,28697.0,42206.0,252044.0,202046.0,71754.0,21602.0,103.475,80.2,0.03,0.9,0.0,-0.0031214173546952884,0.0
1990-07-01,1990 3Q,1990,5.22,17930.1,22901.0,23134.0,9962.4,1.8,61.92,2296.0,623821.0,28697.0,42206.0,252044.0,202046.0,71754.0,21602.0,104.985,80.126,0.03,0.9,-0.0011292143894175988,0.014592896834984437,-0.0009226932668329191
1990-08-01,1990 3Q,1990,5.48,17930.1,22901.0,23134.0,9962.4,1.8,61.92,2296.0,623821.0,28697.0,42206.0,252044.0,202046.0,71754.0,21602.0,104.338,80.126,0.03,0.9,0.0,-0.006162785159784745,0.0
1990-09-01,1990 3Q,1990,5.49,17930.1,22901.0,23134.0,9962.4,1.8,61.84,2296.0,623821.0,28697.0,42206.0,252044.0,202046.0,71754.0,21602.0,105.308,79.605,0.03,0.9,-0.0012919896640826156,0.009296708773409712,-0.00650225894216605
1990-10-01,1990 4Q,1990,5.42,18805.0,22901.0,23134.0,10073.9,1.8,62.41,2296.0,623821.0,28697.0,42206.0,252044.0,202046.0,71754.0,21602.0,108.003,79.53,0.03,0.9,0.009217335058214537,0.025591597979260694,-0.0009421518748822244
1990-11-01,1990 4Q,1990,5.22,18805.0,22901.0,23134.0,10073.9,1.8,62.98,2296.0,623821.0,28697.0,42206.0,252044.0,202046.0,71754.0,21602.0,108.111,79.53,0.03,0.9,0.009133151738503376,0.0009999722229938612,0.0
1990-12-01,1990 4Q,1990,5.19,18805.0,22901.0,23134.0,10073.9,1.8,63.45,2296.0,623821.0,28697.0,42206.0,252044.0,202046.0,71754.0,21602.0,108.65,79.456,0.03,0.9,0.007462686567164312,0.004985616634755052,-0.0009304664906324422
1991-01-01,1991 1Q,1991,5.2,18521.0,24674.0,25053.0,10509.5,1.8,63.56,2442.94,626313.0,28125.0,38445.0,248358.0,207773.0,74714.0,23426.0,107.788,81.242,0.03,0.9,0.001733648542159072,-0.007933732167510477,0.022477849375755143
1991-02-01,1991 1Q,1991,5.11,18521.0,24674.0,25053.0,10509.5,1.8,64.02,2442.94,626313.0,28125.0,38445.0,248358.0,207773.0,74714.0,23426.0,108.758,81.018,0.03,0.9,0.0072372561359344,0.008999146472705721,-0.0027571945545408205
1991-03-01,1991 1Q,1991,5.03,18521.0,24674.0,25053.0,10509.5,1.8,63.91,2442.94,626313.0,28125.0,38445.0,248358.0,207773.0,74714.0,23426.0,109.19,81.242,0.03,0.9,-0.0017182130584192379,0.003972121591055311,0.002764817694833388
1991-04-01,1991 2Q,1991,5.02,19058.1,24674.0,25053.0,10810.4,1.8,64.23,2442.94,626313.0,28125.0,38445.0,248358.0,207773.0,74714.0,23426.0,108.65,78.638,0.03,0.9,0.005007041151619651,-0.004945507830387275,-0.03205238669653632
1991-05-01,1991 2Q,1991,5.03,19058.1,24674.0,25053.0,10810.4,1.8,64.32,2442.94,626313.0,28125.0,38445.0,248358.0,207773.0,74714.0,23426.0,107.14,78.712,0.03,0.9,0.0014012143858008752,-0.013897837091578547,0.0009410208804903064
1991-06-01,1991 2Q,1991,5.08,19058.1,24674.0,25053.0,10810.4,1.8,64.35,2442.94,626313.0,28125.0,38445.0,248358.0,207773.0,74714.0,23426.0,108.218,78.712,0.03,0.9,0.0004664179104478805,0.010061601642710416,0.0
1991-07-01,1991 3Q,1991,5.08,20151.6,24674.0,25053.0,10990.0,1.8,64.46,2442.94,626313.0,28125.0,38445.0,248358.0,207773.0,74714.0,23426.0,108.65,78.563,0.03,0.9,0.0017094017094017033,0.003991942190763043,-0.0018929769285496167
1991-08-01,1991 3Q,1991,5.15,20151.6,24674.0,25053.0,10990.0,1.8,64.41,2442.94,626313.0,28125.0,38445.0,248358.0,207773.0,74714.0,23426.0,108.542,78.415,0.03,0.9,-0.0007756748371082756,-0.0009940174873447338,-0.001883838448124342
1991-09-01,1991 3Q,1991,4.98,20151.6,24674.0,25053.0,10990.0,1.8,64.53,2442.94,626313.0,28125.0,38445.0,248358.0,207773.0,74714.0,23426.0,108.758,78.488,0.03,0.9,0.0018630647414998869,0.001990013082493247,0.0009309443346297019
