feature,importance,main_feature
onehotencoder__town_BEDOK,0.0022839587181806564,town
onehotencoder__town_BISHAN,0.027273831889033318,town
onehotencoder__town_BUKIT BATOK,0.007599843665957451,town
onehotencoder__town_BUKIT MERAH,0.01649261638522148,town
onehotencoder__town_BUKIT PANJANG,0.0358932763338089,town
onehotencoder__town_BUKIT TIMAH,0.023969285190105438,town
onehotencoder__town_CENTRAL AREA,0.0027156290598213673,town
onehotencoder__town_CHOA CHU KANG,0.025077827274799347,town
onehotencoder__town_CLEMENTI,0.004754043649882078,town
onehotencoder__town_GEYLANG,0.0028692318592220545,town
onehotencoder__town_HOUGANG,0.0010097518097609282,town
onehotencoder__town_JURONG EAST,0.004900394473224878,town
onehotencoder__town_JURONG WEST,0.019207077100872993,town
onehotencoder__town_KALLANG/WHAMPOA,0.002920118160545826,town
onehotencoder__town_MARINE PARADE,0.012174860574305058,town
onehotencoder__town_PASIR RIS,0.0017772370483726263,town
onehotencoder__town_PUNGGOL,0.0023014184553176165,town
onehotencoder__town_QUEENSTOWN,0.009470600634813309,town
onehotencoder__town_SEMBAWANG,0.00398221705108881,town
onehotencoder__town_SENGKANG,0.004457473289221525,town
onehotencoder__town_SERANGOON,0.0037260453682392836,town
onehotencoder__town_TAMPINES,0.00597150856629014,town
onehotencoder__town_TOA PAYOH,0.004383097868412733,town
onehotencoder__town_WOODLANDS,0.01959703490138054,town
onehotencoder__town_YISHUN,0.012901365756988525,town
onehotencoder__flat_type_2 ROOM,0.0013339391443878412,flat_type
onehotencoder__flat_type_3 ROOM,0.0009246391709893942,flat_type
onehotencoder__flat_type_4 ROOM,0.03982667252421379,flat_type
onehotencoder__flat_type_5 ROOM,0.0008425622945651412,flat_type
onehotencoder__flat_type_EXECUTIVE,0.005878683645278215,flat_type
onehotencoder__flat_type_MULTI GENERATION,0.000573644763790071,flat_type
onehotencoder__storey_range_01 TO 05,0.0,storey_range
onehotencoder__storey_range_04 TO 06,0.0005419041262939572,storey_range
onehotencoder__storey_range_06 TO 10,0.0007552916649729013,storey_range
onehotencoder__storey_range_07 TO 09,0.002988990629091859,storey_range
onehotencoder__storey_range_10 TO 12,0.002214442938566208,storey_range
onehotencoder__storey_range_11 TO 15,0.0008546653552912176,storey_range
onehotencoder__storey_range_13 TO 15,0.002868316136300564,storey_range
onehotencoder__storey_range_16 TO 18,0.0036257284227758646,storey_range
onehotencoder__storey_range_16 TO 20,0.0005842484533786774,storey_range
onehotencoder__storey_range_19 TO 21,0.003021183656528592,storey_range
onehotencoder__storey_range_21 TO 25,0.0,storey_range
onehotencoder__storey_range_22 TO 24,0.002775392262265086,storey_range
onehotencoder__storey_range_25 TO 27,0.0020195203833281994,storey_range
onehotencoder__storey_range_26 TO 30,0.0,storey_range
onehotencoder__storey_range_28 TO 30,0.002346270950511098,storey_range
onehotencoder__storey_range_31 TO 33,0.0014464384876191616,storey_range
onehotencoder__storey_range_31 TO 35,0.0,storey_range
onehotencoder__storey_range_34 TO 36,0.0019263621652498841,storey_range
onehotencoder__storey_range_36 TO 40,0.0,storey_range
onehotencoder__storey_range_37 TO 39,0.0019259706605225801,storey_range
onehotencoder__storey_range_40 TO 42,0.0019703286234289408,storey_range
onehotencoder__storey_range_43 TO 45,0.0008957693353295326,storey_range
onehotencoder__storey_range_46 TO 48,0.0009526991634629667,storey_range
onehotencoder__storey_range_49 TO 51,0.0006314286729320884,storey_range
onehotencoder__flat_model_3Gen,0.0,flat_model
onehotencoder__flat_model_Adjoined flat,0.0004039063642267138,flat_model
onehotencoder__flat_model_Apartment,0.0003907692153006792,flat_model
onehotencoder__flat_model_DBSS,0.00937112607061863,flat_model
onehotencoder__flat_model_Executive Maisonette,0.0010715321404859424,flat_model
onehotencoder__flat_model_Improved,0.001212081522680819,flat_model
onehotencoder__flat_model_Maisonette,0.00047440221533179283,flat_model
onehotencoder__flat_model_Model A,0.007195507641881704,flat_model
onehotencoder__flat_model_Model A2,0.0004084903921466321,flat_model
onehotencoder__flat_model_Multi Generation,0.0,flat_model
onehotencoder__flat_model_New Generation,0.00039126654155552387,flat_model
onehotencoder__flat_model_Premium Apartment,0.0005154235404916108,flat_model
onehotencoder__flat_model_Simplified,0.008692951872944832,flat_model
onehotencoder__flat_model_Standard,0.00080112210707739,flat_model
onehotencoder__flat_model_Terrace,0.015262198634445667,flat_model
onehotencoder__flat_model_Type S1,8.560716378269717e-05,flat_model
onehotencoder__flat_model_Type S2,8.226885256590322e-05,flat_model
onehotencoder__most_closest_mrt_ALJUNIED,0.0013291672803461552,closest_mrt
onehotencoder__most_closest_mrt_ANG MO KIO,0.0013789120130240917,closest_mrt
onehotencoder__most_closest_mrt_BARTLEY,0.0,closest_mrt
onehotencoder__most_closest_mrt_BEAUTY WORLD,0.00964559055864811,closest_mrt
onehotencoder__most_closest_mrt_BEDOK,0.0009420043206773698,closest_mrt
onehotencoder__most_closest_mrt_BEDOK NORTH,0.0009839689591899514,closest_mrt
onehotencoder__most_closest_mrt_BEDOK RESERVOIR,0.0006517934962175786,closest_mrt
onehotencoder__most_closest_mrt_BENCOOLEN,0.0,closest_mrt
onehotencoder__most_closest_mrt_BENDEMEER,8.099557817331515e-06,closest_mrt
onehotencoder__most_closest_mrt_BISHAN,0.008545627817511559,closest_mrt
onehotencoder__most_closest_mrt_BOON KENG,0.0010714491363614798,closest_mrt
onehotencoder__most_closest_mrt_BOON LAY,0.0007554564508609474,closest_mrt
onehotencoder__most_closest_mrt_BOTANIC GARDENS,5.193012475501746e-05,closest_mrt
onehotencoder__most_closest_mrt_BRADDELL,0.0006301594548858702,closest_mrt
onehotencoder__most_closest_mrt_BRAS BASAH,0.0010580363450571895,closest_mrt
