address,lat_lon,closest_mrt,mrt_1,mrt_2,mrt_1_latitude,mrt_1_longitude,mrt_2_latitude,mrt_2_longitude,closest_mrt_time
44 BENDEMEER RD,"['1.32226013692281', '103.86662310263']","['KALLANG', 'LAVENDER']",KALLANG,LAVENDER,1.31148890998818,103.871386541754,1.30737781747063,103.862767633888,"('KALLANG', 1239)"
44 BENDEMEER RD,"['1.32226013692281', '103.86662310263']","['BOON KENG', 'POTONG PASIR']",BOON KENG,POTONG PASIR,1.31933570922514,103.861569454156,1.33137949021368,103.869055656782,"('BOON KENG', 608)"
44 BENDEMEER RD,"['1.32226013692281', '103.86662310263']","['GEYLANG BAHRU', 'BOON KENG']",GEYLANG BAHRU,BOON KENG,1.32130110228321,103.871622627142,1.31933570922514,103.861569454156,"('BOON KENG', 608)"
20 ST. GEORGE'S RD,"['1.3247396755322', '103.862860231376']","['KALLANG', 'TOA PAYOH']",KALLANG,TOA PAYOH,1.31148890998818,103.871386541754,1.33262928096888,103.847502198048,"('KALLANG', 1789)"
20 ST. GEORGE'S RD,"['1.3247396755322', '103.862860231376']","['BOON KENG', 'POTONG PASIR']",BOON KENG,POTONG PASIR,1.31933570922514,103.861569454156,1.33137949021368,103.869055656782,"('BOON KENG', 575)"
14 KG ARANG RD,"['1.30016459105', '103.884228450233']","['ALJUNIED', 'KALLANG']",ALJUNIED,KALLANG,1.3164326118157,103.882906044385,1.31148890998818,103.871386541754,"('ALJUNIED', 1614)"
14 KG ARANG RD,"['1.30016459105', '103.884228450233']","['MOUNTBATTEN', 'STADIUM']",MOUNTBATTEN,STADIUM,1.30620190525331,103.882528081052,1.3028124684707,103.875337711089,"('MOUNTBATTEN', 633)"
46 OWEN RD,"['1.31514019805556', '103.850798372212']","['NOVENA', 'NEWTON']",NOVENA,NEWTON,1.32044079120154,103.843825618748,1.3123189224097,103.837984594021,"('NOVENA', 1057)"
46 OWEN RD,"['1.31514019805556', '103.850798372212']","['FARRER PARK', 'LITTLE INDIA']",FARRER PARK,LITTLE INDIA,1.31190557325774,103.853477716509,1.30680019696174,103.849647059738,"('FARRER PARK', 407)"
49 DORSET RD,"['1.3129579815118', '103.850158739219']","['NOVENA', 'NEWTON']",NOVENA,NEWTON,1.32044079120154,103.843825618748,1.3123189224097,103.837984594021,"('NOVENA', 976)"
49 DORSET RD,"['1.3129579815118', '103.850158739219']","['FARRER PARK', 'LITTLE INDIA']",FARRER PARK,LITTLE INDIA,1.31190557325774,103.853477716509,1.30680019696174,103.849647059738,"('FARRER PARK', 357)"
95 GEYLANG BAHRU,"['1.32300949333249', '103.871104763913']","['KALLANG', 'ALJUNIED']",KALLANG,ALJUNIED,1.31148890998818,103.871386541754,1.3164326118157,103.882906044385,"('KALLANG', 1159)"
95 GEYLANG BAHRU,"['1.32300949333249', '103.871104763913']","['POTONG PASIR', 'BOON KENG']",POTONG PASIR,BOON KENG,1.33137949021368,103.869055656782,1.31933570922514,103.861569454156,"('POTONG PASIR', 918)"
95 GEYLANG BAHRU,"['1.32300949333249', '103.871104763913']","['GEYLANG BAHRU', 'POTONG PASIR']",GEYLANG BAHRU,POTONG PASIR,1.32130110228321,103.871622627142,1.33137949021368,103.869055656782,"('GEYLANG BAHRU', 217)"
94 GEYLANG BAHRU,"['1.32265301195608', '103.87130995354']","['KALLANG', 'ALJUNIED']",KALLANG,ALJUNIED,1.31148890998818,103.871386541754,1.3164326118157,103.882906044385,"('KALLANG', 1115)"
94 GEYLANG BAHRU,"['1.32265301195608', '103.87130995354']","['POTONG PASIR', 'BOON KENG']",POTONG PASIR,BOON KENG,1.33137949021368,103.869055656782,1.31933570922514,103.861569454156,"('POTONG PASIR', 958)"
94 GEYLANG BAHRU,"['1.32265301195608', '103.87130995354']","['GEYLANG BAHRU', 'POTONG PASIR']",GEYLANG BAHRU,POTONG PASIR,1.32130110228321,103.871622627142,1.33137949021368,103.869055656782,"('GEYLANG BAHRU', 144)"
16 UPP BOON KENG RD,"['1.31543175817283', '103.871651573593']","['KALLANG', 'ALJUNIED']",KALLANG,ALJUNIED,1.31148890998818,103.871386541754,1.3164326118157,103.882906044385,"('KALLANG', 484)"
16 UPP BOON KENG RD,"['1.31543175817283', '103.871651573593']","['KALLANG', 'BOON KENG']",KALLANG,BOON KENG,1.31148890998818,103.871386541754,1.31933570922514,103.861569454156,"('KALLANG', 484)"
