,block,street_name,address
1,44,BENDEMEER RD,44 BENDEMEER RD
2,20,ST. GEORGE'S RD,20 ST. GEORGE'S RD
3,14,KG ARANG RD,14 KG ARANG RD
4,46,OWEN RD,46 OWEN RD
5,49,DORSET RD,49 DORSET RD
6,95,GEYLANG BAHRU,95 GEYLANG BAHRU
7,94,GEYLANG BAHRU,94 GEYLANG BAHRU
8,16,UPP BOON KENG RD,16 UPP BOON KENG RD
9,68,GEYLANG BAHRU,68 GEYLANG BAHRU
12,65,KALLANG BAHRU,65 KALLANG BAHRU
14,98,WHAMPOA DR,98 WHAMPOA DR
16,11,UPP BOON KENG RD,11 UPP BOON KENG RD
19,82,WHAMPOA DR,82 WHAMPOA DR
20,28,JLN BAHAGIA,28 JLN BAHAGIA
22,38,JLN BAHAGIA,38 JLN BAHAGIA
23,69,MOULMEIN RD,69 MOULMEIN RD
24,56,GEYLANG BAHRU,56 GEYLANG BAHRU
25,461,CRAWFORD LANE,461 CRAWFORD LANE
27,39,UPP BOON KENG RD,39 UPP BOON KENG RD
28,104,JLN RAJAH,104 JLN RAJAH
30,807,KING GEORGE'S AVE,807 KING GEORGE'S AVE
31,103,AH HOOD RD,103 AH HOOD RD
33,85,WHAMPOA DR,85 WHAMPOA DR
34,23,ST. GEORGE'S RD,23 ST. GEORGE'S RD
35,101,JLN RAJAH,101 JLN RAJAH
36,103,JLN RAJAH,103 JLN RAJAH
37,107,TOWNER RD,107 TOWNER RD
38,101,WHAMPOA DR,101 WHAMPOA DR
40,83,WHAMPOA DR,83 WHAMPOA DR
42,84,WHAMPOA DR,84 WHAMPOA DR
44,52,KENT RD,52 KENT RD
45,54,GEYLANG BAHRU,54 GEYLANG BAHRU
46,75,WHAMPOA DR,75 WHAMPOA DR
48,559,JURONG WEST ST 42,559 JURONG WEST ST 42
49,547,JURONG WEST ST 42,547 JURONG WEST ST 42
50,539,JURONG WEST AVE 1,539 JURONG WEST AVE 1
51,452,JURONG WEST ST 42,452 JURONG WEST ST 42
52,444,JURONG WEST AVE 1,444 JURONG WEST AVE 1
53,436,JURONG WEST AVE 1,436 JURONG WEST AVE 1
54,416,JURONG WEST ST 42,416 JURONG WEST ST 42
55,415,JURONG WEST ST 42,415 JURONG WEST ST 42
56,458,JURONG WEST ST 41,458 JURONG WEST ST 41
57,463,JURONG WEST ST 41,463 JURONG WEST ST 41
58,527,JURONG WEST ST 52,527 JURONG WEST ST 52
59,551,JURONG WEST ST 42,551 JURONG WEST ST 42
60,550,JURONG WEST ST 42,550 JURONG WEST ST 42
62,545,JURONG WEST ST 42,545 JURONG WEST ST 42
63,543,JURONG WEST ST 42,543 JURONG WEST ST 42
64,431,JURONG WEST AVE 1,431 JURONG WEST AVE 1
65,485,JURONG WEST AVE 1,485 JURONG WEST AVE 1
66,402,JURONG WEST ST 42,402 JURONG WEST ST 42
67,198,BOON LAY DR,198 BOON LAY DR
68,203,BOON LAY DR,203 BOON LAY DR
69,205,BOON LAY DR,205 BOON LAY DR
70,407,JURONG WEST ST 42,407 JURONG WEST ST 42
71,77,LOR LIMAU,77 LOR LIMAU
72,45,BENDEMEER RD,45 BENDEMEER RD
74,34,WHAMPOA WEST,34 WHAMPOA WEST
75,28,BENDEMEER RD,28 BENDEMEER RD
76,26,BENDEMEER RD,26 BENDEMEER RD
77,24,BENDEMEER RD,24 BENDEMEER RD
81,12,UPP BOON KENG RD,12 UPP BOON KENG RD
82,2,BEACH RD,2 BEACH RD
83,1,BEACH RD,1 BEACH RD
84,801,FRENCH RD,801 FRENCH RD
85,468,NTH BRIDGE RD,468 NTH BRIDGE RD
86,2,ST. GEORGE'S RD,2 ST. GEORGE'S RD
87,9,JLN BATU,9 JLN BATU
88,469,JURONG WEST ST 41,469 JURONG WEST ST 41
89,558,JURONG WEST ST 42,558 JURONG WEST ST 42
90,97,WHAMPOA DR,97 WHAMPOA DR
91,455,JURONG WEST ST 42,455 JURONG WEST ST 42
