Date,Quarter,Year,5 year bond yields,GDPm (Current Prices),GDP per capita,GNI per capita,Personal Income m,Unemployment Rate,Core inflation,Median Household Inc,Total Residential Properties,  1-Room Residential Properties,  2-Room Residential Properties,  3-Room Residential Properties,  4-Room Residential Properties,  5-Room Residential Properties,  Executive Properties,"Lime, Cement, & Fabricated Construction Materials Excl Glass & Clay Materials",Clay Construction Materials & Refractory Construction Materials,Stamp Duty,LTV Value
Jan-90,1990 1Q,1990,5.22,"16,669.50","22,901.00","23,134.00","9,046.80",#N/A,61.59,"2,296.00",623821,28697,42206,252044,202046,71754,21602,99.488,81.242,0.03,0.9
Feb-90,1990 1Q,1990,5.16,"16,669.50","22,901.00","23,134.00","9,046.80",#N/A,61.7,"2,296.00",623821,28697,42206,252044,202046,71754,21602,98.948,81.167,0.03,0.9
Mar-90,1990 1Q,1990,5.22,"16,669.50","22,901.00","23,134.00","9,046.80",#N/A,61.48,"2,296.00",623821,28697,42206,252044,202046,71754,21602,101.752,80.572,0.03,0.9
Apr-90,1990 2Q,1990,5.34,"17,087.70","22,901.00","23,134.00","9,460.30",#N/A,61.86,"2,296.00",623821,28697,42206,252044,202046,71754,21602,102.506,80.647,0.03,0.9
May-90,1990 2Q,1990,5.25,"17,087.70","22,901.00","23,134.00","9,460.30",#N/A,61.99,"2,296.00",623821,28697,42206,252044,202046,71754,21602,103.799,80.2,0.03,0.9
Jun-90,1990 2Q,1990,5.19,"17,087.70","22,901.00","23,134.00","9,460.30",#N/A,61.99,"2,296.00",623821,28697,42206,252044,202046,71754,21602,103.475,80.2,0.03,0.9
Jul-90,1990 3Q,1990,5.22,"17,930.10","22,901.00","23,134.00","9,962.40",#N/A,61.92,"2,296.00",623821,28697,42206,252044,202046,71754,21602,104.985,80.126,0.03,0.9
Aug-90,1990 3Q,1990,5.48,"17,930.10","22,901.00","23,134.00","9,962.40",#N/A,61.92,"2,296.00",623821,28697,42206,252044,202046,71754,21602,104.338,80.126,0.03,0.9
Sep-90,1990 3Q,1990,5.49,"17,930.10","22,901.00","23,134.00","9,962.40",#N/A,61.84,"2,296.00",623821,28697,42206,252044,202046,71754,21602,105.308,79.605,0.03,0.9
Oct-90,1990 4Q,1990,5.42,"18,805.00","22,901.00","23,134.00","10,073.90",#N/A,62.41,"2,296.00",623821,28697,42206,252044,202046,71754,21602,108.003,79.53,0.03,0.9
Nov-90,1990 4Q,1990,5.22,"18,805.00","22,901.00","23,134.00","10,073.90",#N/A,62.98,"2,296.00",623821,28697,42206,252044,202046,71754,21602,108.111,79.53,0.03,0.9
Dec-90,1990 4Q,1990,5.19,"18,805.00","22,901.00","23,134.00","10,073.90",#N/A,63.45,"2,296.00",623821,28697,42206,252044,202046,71754,21602,108.65,79.456,0.03,0.9
Jan-91,1991 1Q,1991,5.2,"18,521.00","24,674.00","25,053.00","10,509.50",#N/A,63.56,"2,442.94",626313,28125,38445,248358,207773,74714,23426,107.788,81.242,0.03,0.9
Feb-91,1991 1Q,1991,5.11,"18,521.00","24,674.00","25,053.00","10,509.50",#N/A,64.02,"2,442.94",626313,28125,38445,248358,207773,74714,23426,108.758,81.018,0.03,0.9
Mar-91,1991 1Q,1991,5.03,"18,521.00","24,674.00","25,053.00","10,509.50",#N/A,63.91,"2,442.94",626313,28125,38445,248358,207773,74714,23426,109.19,81.242,0.03,0.9
Apr-91,1991 2Q,1991,5.02,"19,058.10","24,674.00","25,053.00","10,810.40",#N/A,64.23,"2,442.94",626313,28125,38445,248358,207773,74714,23426,108.65,78.638,0.03,0.9
May-91,1991 2Q,1991,5.03,"19,058.10","24,674.00","25,053.00","10,810.40",#N/A,64.32,"2,442.94",626313,28125,38445,248358,207773,74714,23426,107.14,78.712,0.03,0.9
Jun-91,1991 2Q,1991,5.08,"19,058.10","24,674.00","25,053.00","10,810.40",#N/A,64.35,"2,442.94",626313,28125,38445,248358,207773,74714,23426,108.218,78.712,0.03,0.9
Jul-91,1991 3Q,1991,5.08,"20,151.60","24,674.00","25,053.00","10,990.00",#N/A,64.46,"2,442.94",626313,28125,38445,248358,207773,74714,23426,108.65,78.563,0.03,0.9
Aug-91,1991 3Q,1991,5.15,"20,151.60","24,674.00","25,053.00","10,990.00",#N/A,64.41,"2,442.94",626313,28125,38445,248358,207773,74714,23426,108.542,78.415,0.03,0.9
Sep-91,1991 3Q,1991,4.98,"20,151.60","24,674.00","25,053.00","10,990.00",#N/A,64.53,"2,442.94",626313,28125,38445,248358,207773,74714,23426,108.758,78.488,0.03,0.9
Oct-91,1991 4Q,1991,4.82,"20,812.10","24,674.00","25,053.00","11,158.10",#N/A,64.63,"2,442.94",626313,28125,38445,248358,207773,74714,23426,108.326,81.986,0.03,0.9
Nov-91,1991 4Q,1991,4.72,"20,812.10","24,674.00","25,053.00","11,158.10",#N/A,64.67,"2,442.94",626313,28125,38445,248358,207773,74714,23426,107.357,81.167,0.03,0.9
Dec-91,1991 4Q,1991,4.68,"20,812.10","24,674.00","25,053.00","11,158.10",#N/A,65.2,"2,442.94",626313,28125,38445,248358,207773,74714,23426,106.17,81.465,0.03,0.9
Jan-92,1992 1Q,1992,4.27,"19,958.90","26,301.00","26,285.00","11,220.50",1.8,65.06,"2,599.29",641016,27470,36671,247030,211455,83213,29713,105.74,80.869,0.03,0.9
Feb-92,1992 1Q,1992,4.08,"19,958.90","26,301.00","26,285.00","11,220.50",1.8,65.09,"2,599.29",641016,27470,36671,247030,211455,83213,29713,105.74,80.869,0.03,0.9
Mar-92,1992 1Q,1992,4.06,"19,958.90","26,301.00","26,285.00","11,220.50",1.8,64.97,"2,599.29",641016,27470,36671,247030,211455,83213,29713,106.602,80.126,0.03,0.9
Apr-92,1992 2Q,1992,4.26,"20,381.90","26,301.00","26,285.00","11,271.90",1.8,65.21,"2,599.29",641016,27470,36671,247030,211455,83213,29713,105.417,79.456,0.03,0.9
May-92,1992 2Q,1992,4.14,"20,381.90","26,301.00","26,285.00","11,271.90",1.8,65.44,"2,599.29",641016,27470,36671,247030,211455,83213,29713,105.092,80.2,0.03,0.9
Jun-92,1992 2Q,1992,4.08,"20,381.90","26,301.00","26,285.00","11,271.90",1.8,65.43,"2,599.29",641016,27470,36671,247030,211455,83213,29713,102.72,78.415,0.03,0.9
Jul-92,1992 3Q,1992,3.99,"21,674.30","26,301.00","26,285.00","11,445.00",1.8,65.58,"2,599.29",641016,27470,36671,247030,211455,83213,29713,102.72,77.82,0.03,0.9
Aug-92,1992 3Q,1992,4.01,"21,674.30","26,301.00","26,285.00","11,445.00",1.8,65.4,"2,599.29",641016,27470,36671,247030,211455,83213,29713,102.398,77.82,0.03,0.9
Sep-92,1992 3Q,1992,3.8,"21,674.30","26,301.00","26,285.00","11,445.00",1.8,65.46,"2,599.29",641016,27470,36671,247030,211455,83213,29713,102.398,77.224,0.03,0.9
Oct-92,1992 4Q,1992,3.67,"22,905.10","26,301.00","26,285.00","11,705.50",1.8,65.56,"2,599.29",641016,27470,36671,247030,211455,83213,29713,101.968,77.299,0.03,0.9
Nov-92,1992 4Q,1992,3.82,"22,905.10","26,301.00","26,285.00","11,705.50",1.8,65.71,"2,599.29",641016,27470,36671,247030,211455,83213,29713,102.074,76.852,0.03,0.9
Dec-92,1992 4Q,1992,3.79,"22,905.10","26,301.00","26,285.00","11,705.50",1.8,65.87,"2,599.29",641016,27470,36671,247030,211455,83213,29713,102.506,77.075,0.03,0.9
